NomeLoja;LojaCampea;EnderecoWeb;Cidade;Estrelas;Segmento;Distancia;Tempo;Frete
Fritos: Só no Exagero;Não;https://www.ifood.com.br/delivery/paulista-pe/fritos-so-no-exagero-paratibe/87bcd88a-0cb8-486f-9c5e-d463a9f43284;paulista-pe;4.8;Salgados;8.6 km;39-49 min;R$ 20,99
Açai Toda Hora;Não;https://www.ifood.com.br/delivery/paulista-pe/acai-toda-hora-paratibe/50634f01-6409-422e-b350-64bfea58142f;paulista-pe;4.6;Açaí;8.6 km;44-54 min;R$ 24,99
Paço Real - Norte Way;Não;https://www.ifood.com.br/delivery/paulista-pe/paco-real---norte-way-centro/e2b392f1-807f-4ca7-85ea-d13d8b3001cc;paulista-pe;4.4;Brasileira;8.6 km;72-82 min;R$ 24,99
Coxinha no Pote North Way Shopping;Não;https://www.ifood.com.br/delivery/recife-pe/coxinha-no-pote-north-way-shopping-centro/a821eee6-6f44-4709-935d-ecf4e3b49294;recife-pe;4.7;Lanches;8.6 km;54-64 min;R$ 24,99
Saladelli;Não;https://www.ifood.com.br/delivery/paulista-pe/saladelli-centro/648a0de8-f1a2-45bd-9bf0-6059f1b2806e;paulista-pe;4.8;Saudável;8.6 km;60-70 min;R$ 24,99
Giraffas North Way;Não;https://www.ifood.com.br/delivery/paulista-pe/giraffas-north-way-centro/b21da77b-79ee-487d-a018-22796c534cd2;paulista-pe;4.6;Brasileira;8.6 km;83-93 min;R$ 24,99
Pizzeto - Norte Way;Não;https://www.ifood.com.br/delivery/paulista-pe/pizzeto---norte-way-centro/9de23814-88e5-4c21-8063-7fcf2dcc9ba7;paulista-pe;4.6;Pizza;8.6 km;73-83 min;R$ 24,99
Paço Oriente - Norte Way;Não;https://www.ifood.com.br/delivery/paulista-pe/paco-oriente---norte-way-centro/e4d55b26-6cf4-46c0-bd65-630b2f3995b9;paulista-pe;4.3;Japonesa;8.6 km;74-84 min;R$ 24,99
Saffari Marmitas - Paulista;Não;https://www.ifood.com.br/delivery/paulista-pe/saffari-marmitas---paulista-centro/ebe88eb8-afad-46a0-9c63-70d3e3607ac7;paulista-pe;4.7;Marmita;8.6 km;76-86 min;R$ 24,99
Pizzaria Atlântico Paulista;Não;https://www.ifood.com.br/delivery/paulista-pe/pizzaria-atlantico-paulista-centro/08d89c7a-2768-4d96-a3c3-dd0f52486359;paulista-pe;4.8;Pizza;8.7 km;57-67 min;R$ 24,99
Atlântico Burger - Paulista;Não;https://www.ifood.com.br/delivery/paulista-pe/atlantico-burger---paulista-centro/affe13dc-5d3d-4a42-9af6-e30da10ca9d9;paulista-pe;4.9;Lanches;8.7 km;71-81 min;R$ 24,99
Marinana Doces / Picolé Gourmet ;Não;https://www.ifood.com.br/delivery/paulista-pe/marinana-doces---picole-gourmet-pau-amarelo/a638b6ec-37ee-4004-82bc-fd6fd9efb9fb;paulista-pe;-;Doces & Bolos;8.7 km;71-81 min;R$ 24,99
Pizzaria da Glaubia;Não;https://www.ifood.com.br/delivery/paulista-pe/pizzaria-da-glaubia-pau-amarelo/85ffa7e2-c82c-40dd-a1e0-3464d2429340;paulista-pe;Novidade;Marmita;8.7 km;47-57 min;R$ 24,99
Gabi Refeições;Não;https://www.ifood.com.br/delivery/paulista-pe/gabi-refeicoes-nossa-senhora-do-o/073f4d48-8773-4220-81e8-059119dd1d36;paulista-pe;4.2;Brasileira;8.8 km;45-55 min;R$ 24,99
Adocei_sim;Não;https://www.ifood.com.br/delivery/paulista-pe/adoceisim-pau-amarelo/9ff23c15-e6e5-4404-822a-5e0e3ab08f03;paulista-pe;4.5;Doces & Bolos;8.8 km;51-61 min;R$ 24,99
Magno Pizza;Não;https://www.ifood.com.br/delivery/paulista-pe/magno-pizza-nobre/36588519-ed99-46aa-990a-77459c93e1c8;paulista-pe;Novidade;Pizza;8.9 km;42-52 min;R$ 24,99
Cantinho da Maria;Não;https://www.ifood.com.br/delivery/paulista-pe/cantinho-da-maria-pau-amarelo/b52d496b-d1de-4b4c-9fe8-2f405ce64f22;paulista-pe;4.2;Brasileira;8.9 km;47-57 min;R$ 24,99
Saladacom;Não;https://www.ifood.com.br/delivery/paulista-pe/saladacom-pau-amarelo/c817d656-4f65-4ec6-a5c4-c216ef47f0ba;paulista-pe;2.5;Saudável;8.9 km;49-59 min;R$ 24,99
Cabral's Lanches e Pizzaria;Não;https://www.ifood.com.br/delivery/paulista-pe/cabrals-lanches-e-pizzaria-maranguape-ii/316573a5-491d-4a25-92d1-a3b37ef172fc;paulista-pe;4.7;Lanches;8.9 km;49-59 min;R$ 24,99
Coxinharia e Temakeria Ladislau;Não;https://www.ifood.com.br/delivery/paulista-pe/coxinharia-e-temakeria-ladislau-maranguape-ii/a1974c68-c3b9-47ad-a64d-cd46e3e4381b;paulista-pe;4.8;Brasileira;9.0 km;47-57 min;R$ 24,99
Yakissoba Delivery;Não;https://www.ifood.com.br/delivery/paulista-pe/yakissoba-delivery-maranguape-ii/a396c296-0bd9-4e35-b942-a84615f99a5b;paulista-pe;3.1;Chinesa;9.0 km;54-64 min;R$ 21,99
Tuba Mix;Não;https://www.ifood.com.br/delivery/paulista-pe/tuba-mix-aurora/b55b0d21-c758-4bde-8374-5097584171be;paulista-pe;5.0;Hambúrguer;9.1 km;45-55 min;R$ 24,99
Maraka Burguer (jardim Paulista);Não;https://www.ifood.com.br/delivery/paulista-pe/maraka-burguer-jardim-paulista-jardim-paulista/5eb7b3ba-ebdd-4378-98c3-2a25ff1a5356;paulista-pe;4.8;Lanches;9.1 km;45-55 min;R$ 24,99
A&F Food Delivery ;Não;https://www.ifood.com.br/delivery/paulista-pe/af-food-delivery-nobre/08e901e9-e5ca-42ac-a382-4135e27ab0cd;paulista-pe;Novidade;Lanches;9.1 km;90-100 min;R$ 9,00
Dom Pastelitto Restaurante e Petiscaria;Não;https://www.ifood.com.br/delivery/paulista-pe/dom-pastelitto-restaurante-e-petiscaria-pau-amarelo/05955a92-1992-45bc-832d-9759f1b580fd;paulista-pe;Novidade;Pastel;9.2 km;49-59 min;R$ 21,99
Pizzaria Barriga Cheia;Não;https://www.ifood.com.br/delivery/paulista-pe/pizzaria-barriga-cheia-nossa-senhora-do-o/4fbda962-9622-4bdd-b30b-1d8835b3cc31;paulista-pe;Novidade;Pizza;9.2 km;40-50 min;R$ 24,99
Prime Pizza;Não;https://www.ifood.com.br/delivery/paulista-pe/prime-pizza-centro/a2d49d89-88a3-48cf-a4fc-3b51e74b9b6b;paulista-pe;Novidade;Pizza;9.2 km;45-55 min;R$ 24,99
Encanto Gelado;Não;https://www.ifood.com.br/delivery/paulista-pe/encanto-gelado-maranguape-ii/374c5961-2ddc-42c1-90ba-240d19381dc2;paulista-pe;Novidade;Sorvetes;9.2 km;49-59 min;R$ 21,99
Bakana’s Sorvetes e Sanduiches Paulista ;Não;https://www.ifood.com.br/delivery/paulista-pe/bakanas-sorvetes-e-sanduiches-paulista-jardim-paulista/73015e8d-9316-4376-944e-840a14d9bbf7;paulista-pe;3.3;Lanches;9.2 km;50-60 min;R$ 24,99
Pizzaria do Dogão;Não;https://www.ifood.com.br/delivery/paulista-pe/pizzaria-do-dogao-jardim-paulista/b0be07d7-fee8-41dd-b7f4-b797321863d1;paulista-pe;4.5;Pizza;9.2 km;56-66 min;R$ 24,99
Adriano Petiscaria;Não;https://www.ifood.com.br/delivery/paulista-pe/adriano-petiscaria-pau-amarelo/e17242f7-d6d7-4b71-a011-b13ef31485cf;paulista-pe;Novidade;Lanches;9.3 km;50-60 min;R$ 24,99
Subway Paulista;Não;https://www.ifood.com.br/delivery/paulista-pe/subway-paulista-nobre/4831670f-f894-4454-8454-76939f410fe8;paulista-pe;4.7;Lanches;9.3 km;38-48 min;R$ 24,99
Açaí Ponto de Parada;Não;https://www.ifood.com.br/delivery/paulista-pe/acai-ponto-de-parada-jardim-paulista/67c12686-854d-4b12-9a4f-f59f6278bcdf;paulista-pe;3.6;Açaí;9.3 km;54-64 min;R$ 24,99
World Açaiteria;Não;https://www.ifood.com.br/delivery/paulista-pe/world-acaiteria-nobre/884769b0-1d51-4637-bb2b-844edddd303a;paulista-pe;4.5;Açaí;9.3 km;52-62 min;R$ 24,99
Kony Lounge;Não;https://www.ifood.com.br/delivery/paulista-pe/kony-lounge-jardim-paulista/06dba5ca-e5ee-4c84-94d1-6f3f8b81c688;paulista-pe;4.9;Japonesa;9.3 km;43-53 min;R$ 24,99
Evellyn Doceria Café;Não;https://www.ifood.com.br/delivery/paulista-pe/evellyn-doceria-cafe-jardim-paulista/37cf89c3-3fc1-4434-9232-0a64139b7251;paulista-pe;5.0;Doces & Bolos;9.4 km;89-99 min;R$ 24,99
Cia Pastel;Não;https://www.ifood.com.br/delivery/paulista-pe/cia-pastel-jardim-paulista-baixo/f2943e9c-9999-490d-bbba-17183c265d18;paulista-pe;4.7;Pastel;9.4 km;43-53 min;R$ 24,99
Rodes Churrasco Grego;Não;https://www.ifood.com.br/delivery/paulista-pe/rodes-churrasco-grego-jardim-paulista/2c1927cf-ee96-478c-8f7d-f956e3c348f0;paulista-pe;4.7;Lanches;9.4 km;53-63 min;R$ 24,99
Ki Delícia Salgados;Não;https://www.ifood.com.br/delivery/paulista-pe/ki-delicia-salgados-pau-amarelo/8ec0d9f2-f724-41f0-9ff8-5d18837e0b1c;paulista-pe;4.8;Salgados;9.5 km;43-53 min;R$ 24,99
Krispys Lanches Gourmet;Não;https://www.ifood.com.br/delivery/paulista-pe/krispys-lanches-gourmet-jardim-paulista/f1d5b53f-f711-4e88-adad-eb90f85fab5c;paulista-pe;Novidade;Lanches;9.5 km;48-58 min;R$ 24,99
Tá na Chapa Burguer;Não;https://www.ifood.com.br/delivery/paulista-pe/ta-na-chapa-burguer-jardim-paulista/fca2255e-4cd0-4526-8a2c-e275d179fe3c;paulista-pe;Novidade;Hambúrguer;9.5 km;35-45 min;R$ 24,99
Punk keka's;Não;https://www.ifood.com.br/delivery/paulista-pe/punk-kekas-pau-amarelo/5e39d1b0-cf3e-4690-990b-a9fa125eb700;paulista-pe;Novidade;Panqueca;9.6 km;35-45 min;R$ 22,99
Castanha Acai;Não;https://www.ifood.com.br/delivery/paulista-pe/castanha-acai-pau-amarelo/f7d3d061-e38f-4911-a215-060a90fabc77;paulista-pe;Novidade;Açaí;9.6 km;76-86 min;R$ 24,99
Delicias de Gourmet 3m;Não;https://www.ifood.com.br/delivery/paulista-pe/delicias-de-gourmet-3m-jardim-paulista/b93eb849-0e4c-45a3-b2d4-59b31d5fa957;paulista-pe;Novidade;Sorvetes;9.6 km;76-86 min;R$ 24,99
Fit-me Marmitas Saudáveis;Não;https://www.ifood.com.br/delivery/paulista-pe/fit-me-marmitas-saudaveis-jardim-paulista/12861ccf-9542-40d1-a9d5-410d3e50caad;paulista-pe;Novidade;Marmita;9.7 km;76-86 min;R$ 24,99
Esther Variedades;Não;https://www.ifood.com.br/delivery/paulista-pe/esther-variedades-maranguape-i/7687c63d-718e-4bd6-b35f-e39811882cac;paulista-pe;Novidade;Doces & Bolos;9.8 km;96-106 min;R$ 24,99
Festolé;Não;https://www.ifood.com.br/delivery/paulista-pe/festole-maranguape-i/6c54414c-7613-4c1e-aaf1-6ef77bcc0755;paulista-pe;4.9;Sorvetes;9.8 km;76-86 min;R$ 24,99
F & G Hamburgueria e Petiscaria;Não;https://www.ifood.com.br/delivery/paulista-pe/f--g-hamburgueria-e-petiscaria-pau-amarelo/d509067f-6b50-435a-a117-7d72093d233d;paulista-pe;Novidade;Lanches;9.8 km;35-45 min;R$ 20,00
Bella Pizza;Não;https://www.ifood.com.br/delivery/paulista-pe/bella-pizza-janga/67ec314c-bf7c-461a-a475-e39ec7863e5f;paulista-pe;4.6;Pizza;9.9 km;76-86 min;R$ 24,99
Casa da Vó Ju;Não;https://www.ifood.com.br/delivery/paulista-pe/casa-da-vo-ju-vila-torres-galvao/425a5b8e-5f7e-4526-a4e6-ec8a51991fb8;paulista-pe;-;Brasileira;9.9 km;35-45 min;R$ 22,99
Brangus Hamburgueria Artesanal;Não;https://www.ifood.com.br/delivery/itapissuma-pe/brangus-hamburgueria-artesanal-centro/0ec66145-6fb7-4acb-b57e-5673fa937a97;itapissuma-pe;4.4;Lanches;10.1 km;90-100 min;R$ 12,00
TROPICAL COMEDORIA;Não;https://www.ifood.com.br/delivery/paulista-pe/tropical-comedoria-pau-amarelo/cd7eef44-7ea3-4867-baac-ce21bbad221b;paulista-pe;3.7;Brasileira;10.3 km;75-85 min;R$ 15,00
Delicias da Gabi Silva;Sim;https://www.ifood.com.br/delivery/igarassu-pe/delicias-da-gabi-silva-santa-maria/fe88dcd4-0768-4b76-a15d-e243e5af5c85;igarassu-pe;4.8;Marmita;1.8 km;Amanhã, entre 12h-12h;R$ 6,00
Vagalum's Naturalles;Não;https://www.ifood.com.br/delivery/igarassu-pe/vagalums-naturalles-rubina/5c362e30-5638-46d0-87ac-f2803f09ff02;igarassu-pe;4.8;Açaí;1.9 km;Amanhã, entre 12h-12h;R$ 4,99
Delicias da Vovo;Não;https://www.ifood.com.br/delivery/igarassu-pe/delicias-da-vovo-ana-de-albuquerque/b1c84141-e995-480c-8ee7-ec25f5189031;igarassu-pe;4.5;Brasileira;2.4 km;Amanhã, entre 11h-12h;R$ 3,00
Sabor Caseiro - Oficial Minecaseiras;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sabor-caseiro---oficial-minecaseiras-timbo/1c592e91-e79e-432a-996c-5e9b65c364c1;abreu-e-lima-pe;4.3;Brasileira;5.3 km;Amanhã, entre 09h-10h;R$ 9,00
Sabor Caseiro - Oficial - Abreu e Lima;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sabor-caseiro---oficial---abreu-e-lima-timbo/71d92a98-b4d6-4f8e-8061-60196f61bc98;abreu-e-lima-pe;4.4;Marmita;5.3 km;Amanhã, entre 09h-10h;Grátis
Fome de Massa;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/fome-de-massa-timbo/d273f64d-165b-47fa-8d5a-55a147e17159;abreu-e-lima-pe;Novidade;Salgados;5.5 km;Amanhã, entre 11h-11h;R$ 11,99
O Rei da Carne de Sol;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/o-rei-da-carne-de-sol-timbo/2f4123ea-54f2-4a06-a214-0feb73d3ac68;abreu-e-lima-pe;4.8;Brasileira;5.6 km;Amanhã, entre 11h-11h;R$ 13,99
Tempero da Vitoria;Não;https://www.ifood.com.br/delivery/paulista-pe/tempero-da-vitoria-artur-lundgren-ii/74966f00-d061-4e97-b1de-fae9faf972e8;paulista-pe;3.9;Brasileira;8.2 km;Amanhã, entre 11h-11h;R$ 14,00
Recanto Nobre;Não;https://www.ifood.com.br/delivery/paulista-pe/recanto-nobre-nossa-senhora-da-conceicao/1a30a992-403c-483e-844b-88bb61d64f22;paulista-pe;-;Brasileira;8.4 km;Amanhã, entre 09h-10h;R$ 22,99
Cebola Frita Express;Não;https://www.ifood.com.br/delivery/paulista-pe/cebola-frita-express-maranguape-ii/589121e8-2dcb-4c52-8219-ab81e0b0e721;paulista-pe;4.9;Marmita;9.1 km;Amanhã, entre 11h-12h;R$ 24,99
Confeitaria Ericka Andrade - Express;Não;https://www.ifood.com.br/delivery/paulista-pe/confeitaria-ericka-andrade---express-jardim-paulista/4c3f135a-9abf-483f-bb85-a3348e20d23b;paulista-pe;4.6;Doces & Bolos;9.3 km;Amanhã, entre 10h-11h;R$ 11,99
Brasa's Galetos;Não;https://www.ifood.com.br/delivery/paulista-pe/brasas-galetos-pau-amarelo/399adf62-edf3-4e2e-9ba9-7c312889669e;paulista-pe;4.3;Brasileira;9.7 km;Hoje, entre 21h-22h;R$ 22,00
Na Brasa Burgueer;Não;https://www.ifood.com.br/delivery/igarassu-pe/na-brasa-burgueer-cruz-de-reboucas/3df16027-84ef-409c-ac11-176dfad8784f;igarassu-pe;-;Lanches;0.1 km;Fechado;R$ 4,00
Bl Distribuidora;Não;https://www.ifood.com.br/delivery/igarassu-pe/bl-distribuidora-jardim-boa-sorte/8fa5a7d6-625b-4728-9c34-ee4bbccb2583;igarassu-pe;Novidade;Bebidas;0.1 km;Fechado;R$ 8,49
Restaurante Tafarel;Não;https://www.ifood.com.br/delivery/igarassu-pe/restaurante-tafarel-encanto-igarassu/ecba4850-0204-4b17-b0eb-d36dd7f9e67e;igarassu-pe;Novidade;Brasileira;0.2 km;Fechado;R$ 4,99
Ponto do Sabor;Não;https://www.ifood.com.br/delivery/igarassu-pe/ponto-do-sabor-jardim-boa-sorte/d7612dae-dea1-46e4-9024-1178afdf6fd1;igarassu-pe;Novidade;Lanches;0.3 km;Fechado;R$ 4,99
Acai Mais Variedades Kilma;Sim;https://www.ifood.com.br/delivery/igarassu-pe/acai-mais-variedades-kilma-cruz-do-reboucas/80b033fc-0246-4d5c-b61a-19c4fbe13d21;igarassu-pe;4.9;Açaí;0.3 km;Fechado;R$ 2,00
Club do Bolo;Não;https://www.ifood.com.br/delivery/igarassu-pe/club-do-bolo-santa-maria/e0292a19-a5db-42a1-9e4f-4e8c2c6cb0b9;igarassu-pe;-;Doces & Bolos;0.4 km;Fechado;R$ 3,99
Frango Frito Crocante;Não;https://www.ifood.com.br/delivery/igarassu-pe/frango-frito-crocante-cruz-do-reboucas/d202dff5-3915-4979-8eaa-6d481aca5d2c;igarassu-pe;Novidade;Brasileira;0.5 km;Fechado;Grátis
Delícia da Rúbia;Não;https://www.ifood.com.br/delivery/igarassu-pe/delicia-da-rubia-cruz-do-reboucas/a759fa25-4522-456a-9243-755e0f5ec810;igarassu-pe;Novidade;Lanches;0.5 km;Fechado;R$ 4,99
Garagem Nordestina;Não;https://www.ifood.com.br/delivery/igarassu-pe/garagem-nordestina-cruz-do-reboucas/dd0d9575-c10b-46e6-adc0-02c34574d807;igarassu-pe;4.8;Brasileira;0.5 km;Fechado;Grátis
Donana Doceria;Não;https://www.ifood.com.br/delivery/igarassu-pe/donana-doceria-umbura/0b6b1eed-f0ef-4284-a5b9-aa54e01f4c47;igarassu-pe;Novidade;Doces & Bolos;0.6 km;Fechado;R$ 2,00
Dindin Gourmet;Não;https://www.ifood.com.br/delivery/igarassu-pe/dindin-gourmet-umbura/d04c418f-e66c-4ce1-9e69-86f9d62a51fd;igarassu-pe;Novidade;Sorvetes;0.6 km;Fechado;R$ 4,00
Refeições da Nina;Não;https://www.ifood.com.br/delivery/igarassu-pe/refeicoes-da-nina-umbura/d76db037-7ab3-4715-8d97-48422c8c1fb7;igarassu-pe;Novidade;Brasileira;0.6 km;Fechado;R$ 5,00
Jj Camarão;Não;https://www.ifood.com.br/delivery/igarassu-pe/jj-camarao-cruz-do-reboucas/cd2b2a0f-baab-40e2-b81b-57f7e7f804c1;igarassu-pe;Novidade;Congelados;0.6 km;Fechado;R$ 4,99
Gomes Doces e Salgados;Não;https://www.ifood.com.br/delivery/igarassu-pe/gomes-doces-e-salgados-panco/a2cf66a2-46e9-4ad0-a1f9-f08445ffbdee;igarassu-pe;5.0;Salgados;0.6 km;Fechado;Grátis
Mundo Burguer;Não;https://www.ifood.com.br/delivery/igarassu-pe/mundo-burguer-umbura/614edcb1-3f20-4019-8084-366fed41646a;igarassu-pe;5.0;Lanches;0.7 km;Fechado;R$ 5,00
Delicias da Naty;Não;https://www.ifood.com.br/delivery/igarassu-pe/delicias-da-naty-cruz-do-reboucas/94c98f5e-410b-4ce6-b5ee-eadd8fcafe3f;igarassu-pe;Novidade;Salgados;0.7 km;Fechado;R$ 3,99
Pointe do Acai;Não;https://www.ifood.com.br/delivery/igarassu-pe/pointe-do-acai-triunfo/7d211bb4-ffdf-4b62-b77e-87607d6627d3;igarassu-pe;Novidade;Açaí;0.8 km;Fechado;R$ 3,99
Refeições;Não;https://www.ifood.com.br/delivery/igarassu-pe/refeicoes-cruz-do-reboucas/17f9825f-56a8-455c-83a2-ed327b4f3b65;igarassu-pe;Novidade;Brasileira;0.8 km;Fechado;R$ 5,00
Explosao de Doces;Não;https://www.ifood.com.br/delivery/igarassu-pe/explosao-de-doces-umbura/4ddb0791-bd71-4fd4-9a0d-1d92d5ccd966;igarassu-pe;Novidade;Doces & Bolos;0.8 km;Fechado;R$ 4,99
Oliver Lanche;Não;https://www.ifood.com.br/delivery/igarassu-pe/oliver-lanche-triunfo/271f207c-1ddd-4b72-bc82-ddd44dc7c655;igarassu-pe;Novidade;Açaí;0.8 km;Fechado;Grátis
J&G Açaí E Sorvetes;Não;https://www.ifood.com.br/delivery/igarassu-pe/jg-acai-e-sorvetes-umbura/7bb97a75-1f3a-4858-b53f-991acbcb33d9;igarassu-pe;-;Açaí;0.8 km;Fechado;R$ 4,00
Acaiteria Top;Não;https://www.ifood.com.br/delivery/igarassu-pe/acaiteria-top-cruz-do-reboucas/fb2c1824-21a2-4f43-b602-163f15371aa9;igarassu-pe;-;Açaí;0.8 km;Fechado;R$ 3,99
Bendito Lanche;Não;https://www.ifood.com.br/delivery/igarassu-pe/bendito-lanche-triunfo/7b7a2365-0dd2-43b8-b0cc-54a45701bea1;igarassu-pe;Novidade;Doces & Bolos;0.9 km;Fechado;R$ 3,99
Delicias da Maju;Não;https://www.ifood.com.br/delivery/igarassu-pe/delicias-da-maju-triunfo/67729780-47d0-4f36-9c88-b4f09776bd2e;igarassu-pe;Novidade;Brasileira;0.9 km;Fechado;R$ 5,49
Casa da Pizza;Não;https://www.ifood.com.br/delivery/igarassu-pe/casa-da-pizza-umbura/1d71f78d-78b5-43d7-b41d-2a383f0a6569;igarassu-pe;-;Pizza;0.9 km;Fechado;R$ 4,00
Boa Grelha;Não;https://www.ifood.com.br/delivery/igarassu-pe/boa-grelha-umbura/a7422638-74f9-479d-8a6f-81d7727e8785;igarassu-pe;-;Lanches;0.9 km;Fechado;R$ 4,00
Tô Frita! Batatas no Cone;Não;https://www.ifood.com.br/delivery/igarassu-pe/to-frita-batatas-no-cone-umbura/6d60e927-740d-46e1-a97d-56a097cf1dfd;igarassu-pe;4.3;Lanches;0.9 km;Fechado;R$ 4,99
Japaa25;Não;https://www.ifood.com.br/delivery/igarassu-pe/japaa25-cruz-de-reboucas/37f54359-7d08-4f16-bfc5-e43d6661bad0;igarassu-pe;-;Japonesa;0.9 km;Fechado;R$ 5,00
Barriga Cheia;Sim;https://www.ifood.com.br/delivery/igarassu-pe/barriga-cheia-encanto-igarassu/33e7cf2f-1e8e-43a4-b245-31769c10da45;igarassu-pe;4.9;Brasileira;1.0 km;Fechado;R$ 4,99
Japa 25;Não;https://www.ifood.com.br/delivery/igarassu-pe/japa-25-santa-maria/bf09a6e1-707d-4f6a-b25a-c21ea72ad307;igarassu-pe;Novidade;Japonesa;1.0 km;Fechado;R$ 5,00
Burger Três Irmãos;Não;https://www.ifood.com.br/delivery/igarassu-pe/burger-tres-irmaos-umbura/9ec177fd-ccca-46d0-8b7c-794f73afe843;igarassu-pe;-;Lanches;1.0 km;Fechado;R$ 4,00
Laricas Burguer;Não;https://www.ifood.com.br/delivery/igarassu-pe/laricas-burguer-monjope/ba320d63-a71e-4af2-be73-0db4888ac737;igarassu-pe;-;Lanches;1.0 km;Fechado;R$ 5,00
Pizzaria Varanda;Não;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-varanda-cruz-do-reboucas/c9ebd694-cab7-4700-b750-5c8c9a68b785;igarassu-pe;Novidade;Pizza;1.0 km;Fechado;R$ 6,00
Espetinho da Josi;Não;https://www.ifood.com.br/delivery/igarassu-pe/espetinho-da-josi-inhama/02b342bb-6954-4751-9f84-3e587941dfa4;igarassu-pe;Novidade;Carnes;1.0 km;Fechado;R$ 3,99
A & e Lanches e Sobremesas;Não;https://www.ifood.com.br/delivery/igarassu-pe/a--e-lanches-e-sobremesas-triunfo/0a91fb47-8468-4601-bd1b-e3d4e983e5f5;igarassu-pe;Novidade;Salgados;1.1 km;Fechado;R$ 3,99
Delicias da Gente - Cupom 10$;Não;https://www.ifood.com.br/delivery/igarassu-pe/delicias-da-gente---cupom-10-inhama/5a9ca929-8dd3-4402-82b8-62cbfa497741;igarassu-pe;Novidade;Lanches;1.1 km;Fechado;R$ 4,99
Pizzaria e Sorveteria 4 Irmãos;Não;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-e-sorveteria-4-irmaos-cruz-do-reboucas/aa53294f-ae30-47d7-9ec6-09a170c8442a;igarassu-pe;Novidade;Pizza;1.1 km;Fechado;R$ 4,00
Evinho Burger;Não;https://www.ifood.com.br/delivery/igarassu-pe/evinho-burger-encanto-igarassu/d28ef769-60ea-4055-b69b-165bcc500a94;igarassu-pe;Novidade;Lanches;1.1 km;Fechado;Grátis
Evinho Burger;Não;https://www.ifood.com.br/delivery/igarassu-pe/evinho-burger-encanto-igarassu/81c8e967-c2f0-4b83-8839-c2804aa0078b;igarassu-pe;Novidade;Lanches;1.1 km;Fechado;Grátis
Point dos Sabores Lanches Diversos;Não;https://www.ifood.com.br/delivery/igarassu-pe/point-dos-sabores-lanches-diversos-encanto-igarassu/ee0e9352-fac2-446d-a197-e75f47e31661;igarassu-pe;Novidade;Açaí;1.1 km;Fechado;R$ 5,99
Brotherpizzas;Não;https://www.ifood.com.br/delivery/igarassu-pe/brotherpizzas-santa-maria/b7c357a7-cb79-44b5-939f-15978dcbc8fe;igarassu-pe;Novidade;Pizza;1.1 km;Fechado;R$ 3,99
Lá de Casa Delivery;Não;https://www.ifood.com.br/delivery/igarassu-pe/la-de-casa-delivery-cruz-de-reboucas/b2299a0d-e01f-478c-bba2-f7230551cab6;igarassu-pe;4.7;Brasileira;1.2 km;Fechado;R$ 5,00
Jota Jota Petisco;Não;https://www.ifood.com.br/delivery/igarassu-pe/jota-jota-petisco-bonfim/306006d3-96d9-4ff1-9b79-73de7ca56d0f;igarassu-pe;Novidade;Lanches;1.2 km;Fechado;R$ 4,99
Restaurante Bom Gosto;Não;https://www.ifood.com.br/delivery/igarassu-pe/restaurante-bom-gosto-cruz-do-reboucas/1df483cb-793d-4496-b598-dc9d64022934;igarassu-pe;5.0;Marmita;1.2 km;Fechado;R$ 5,00
Acarajé Tem Dendê Visse?;Não;https://www.ifood.com.br/delivery/igarassu-pe/acaraje-tem-dende-visse--cruz-do-reboucas/2b920e90-0e46-4faf-bcf0-8fa92fc6767b;igarassu-pe;Novidade;Brasileira;1.2 km;Fechado;R$ 3,99
Galeto do Tony;Não;https://www.ifood.com.br/delivery/igarassu-pe/galeto-do-tony-cruz-do-reboucas/da835e3e-4325-4cce-b915-b5e528e071bd;igarassu-pe;4.5;Marmita;1.2 km;Fechado;R$ 2,99
Don Açúcar;Não;https://www.ifood.com.br/delivery/igarassu-pe/don-acucar-inhama/08610048-aa2b-43af-9cb6-a0efcf494412;igarassu-pe;Novidade;Doces & Bolos;1.2 km;Fechado;R$ 3,99
Bentô Cakes_igarassu;Não;https://www.ifood.com.br/delivery/igarassu-pe/bento-cakesigarassu-encanto-igarassu/942a5604-66b5-4d62-926c-1d42cec2d5c1;igarassu-pe;Novidade;Doces & Bolos;1.2 km;Fechado;R$ 3,99
Ponto da Batata;Não;https://www.ifood.com.br/delivery/igarassu-pe/ponto-da-batata-bonfim/eb4f1148-f307-4cb8-9844-ed9493abb2b5;igarassu-pe;Novidade;Salgados;1.5 km;Fechado;R$ 7,00
Leleo Pizza;Não;https://www.ifood.com.br/delivery/igarassu-pe/leleo-pizza-bonfim/91927b4e-13be-427b-99fa-6a527d8ea841;igarassu-pe;5.0;Pizza;1.5 km;Fechado;R$ 9,99
Deposito de Bebidas Lima;Não;https://www.ifood.com.br/delivery/igarassu-pe/deposito-de-bebidas-lima-bonfim/13e11356-9d6f-439e-87e9-017b39946aac;igarassu-pe;4.9;Bebidas;1.5 km;Fechado;R$ 9,49
