NomeLoja;EnderecoWeb;Endereco;Cidade;CEP;CNPJ;Horario;GrupoCardapio
Mania de Açaí;https://www.ifood.com.br/delivery/igarassu-pe/mania-de-acai-jardim-boa-sorte/24d8e1b5-4a77-4003-a8c0-b7785ec4b9a8;Rua Maria Luiza da Silva, 279 - Jardim Boa Sorte;Igarassu - PE;53625-375;43.744.046/0001-28;['Segunda-feira - Não abre', 'Terça-feira - 13:00 às 21:00', 'Quarta-feira - 13:00 às 21:00', 'Quinta-feira - 13:00 às 21:00', 'Sexta-feira - 13:00 às 21:00', 'Sábado - 13:00 às 21:00', 'Domingo - 13:00 às 21:00'];['açaí pronto', 'monte seu açaí', 'monte seu cupuaçu', 'açaí + cupuaçu', 'sorvete 2 litros', 'picolé']
Monster Burguer e Pizzaria;https://www.ifood.com.br/delivery/igarassu-pe/monster-burguer-e-pizzaria-umbura/bc5f2cc8-7cf2-4494-a549-626754a58507;Rua Maria Regina, 203 - Umbura;Igarassu - PE;53625-448;44.828.097/0001-09;['Segunda-feira - 17:00 às 23:30', 'Terça-feira - 17:00 às 23:30', 'Quarta-feira - 17:00 às 23:30', 'Quinta-feira - 17:00 às 23:30', 'Sexta-feira - 17:00 às 23:30', 'Sábado - 17:00 às 23:30', 'Domingo - 17:00 às 23:30'];"['hamburguer', 'combos - hambúrguer batata frita e refri', ""pizza's"", 'bebidas', 'milk shake', 'baguete francês', 'lanches - baratíssimos simples', 'porçoes', 'açai', 'sucos e milk shake']"
Pan Josina;https://www.ifood.com.br/delivery/igarassu-pe/pan-josina-cruz-do-reboucas/af47d57e-421c-4c65-853c-4ff7df500a9f; Avenida Barão de Vera Cruz, 0 -  Cruz do Rebouças;Igarassu - PE;53635-015;11.863.834/0001-47;['Segunda-feira - 11:00 às 20:00', 'Terça-feira - 11:00 às 20:00', 'Quarta-feira - 11:00 às 20:00', 'Quinta-feira - 11:00 às 20:00', 'Sexta-feira - 11:00 às 20:00', 'Sábado - 11:00 às 20:00', 'Domingo - 11:00 às 20:00'];['destaques', 'hambúrguer angus', 'hambúrguer tradicional e sanduiche', 'hambúrguer tradicional', 'salgados e lanches', 'balcão do pão', 'refeição', 'sobremesas', 'refrigerantes e agua', 'sucos e bebidas lácteas', 'cafe e leites e misturas infantis', 'biscoitos', 'bombomnieri', 'frios e congelados', 'coberturas doces e molhos', 'massas e cereais e temperos', 'produtos naturais e veganos', 'enlatados e conservas', 'iogurte e sobremesa lactea', 'cervejas']
Coxinhas de Batata Igarassu;https://www.ifood.com.br/delivery/igarassu-pe/coxinhas-de-batata-igarassu-cruz-do-reboucas/3dd7009c-5ddb-4dd2-9c5b-4f09f17e0830;Rua Josina Maria de Vasconcelos, 174 - Cruz do Rebouças;Igarassu - PE;53625-055;41.647.268/0001-05;['Segunda-feira - 17:15 às 22:15', 'Terça-feira - 16:30 às 22:00', 'Quarta-feira - 17:30 às 23:00', 'Quinta-feira - 17:00 às 22:00', 'Sexta-feira - 17:00 às 22:15', 'Sábado - 17:30 às 23:00', 'Domingo - 16:30 às 22:30'];['coxinhas', 'bebidas']
Dog 28;https://www.ifood.com.br/delivery/igarassu-pe/dog-28-umbura/82ceff95-f542-4690-a41a-4180472ee697;Rua Severino Pereira da Silva, 130 - Umbura;Igarassu - PE;53625-450;43.364.050/0001-60;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 23:00'];['hot dog premium 20cm', 'bebidas']
Pizza em Casa;https://www.ifood.com.br/delivery/igarassu-pe/pizza-em-casa-jardim-boa-sorte/ec6a3997-c0d3-4598-9e0c-4c43b4fee1f6;Encanto , 1000 - Jardim Boa Sorte;Igarassu - PE;00053-620;27.700.097/0001-00;['Segunda-feira - 17:30 às 22:30', 'Terça-feira - 17:45 às 22:30', 'Quarta-feira - 17:30 às 22:30', 'Quinta-feira - 17:30 às 22:30', 'Sexta-feira - 17:30 às 22:30', 'Sábado - 17:30 às 22:30', 'Domingo - 17:30 às 22:30'];['pizzas', 'refrigerante']
Trem Pão - Pão de Queijo Artesanal;https://www.ifood.com.br/delivery/igarassu-pe/trem-pao---pao-de-queijo-artesanal-triunfo/89d6bd04-9701-4b6a-a547-4bdce4c34c09;Rua João Francisco Ribeiro, 52 - Triunfo;Igarassu - PE;53625-733;42.852.446/0001-94;['Segunda-feira - 11:00 às 20:00', 'Terça-feira - 11:00 às 15:00 - 17:00 às 20:00', 'Quarta-feira - 11:00 às 15:00 - 17:00 às 20:00', 'Quinta-feira - 11:00 às 15:00 - 17:00 às 20:00', 'Sexta-feira - 11:00 às 15:00 - 17:00 às 20:00', 'Sábado - 17:00 às 23:00', 'Domingo - 11:00 às 15:00 - 17:00 às 22:00'];['pão de queijo artesanal - congelado']
Bonna Massa;https://www.ifood.com.br/delivery/igarassu-pe/bonna-massa-panco/95f7c3ca-663d-48ca-90d5-5fcb47d68708;Rua Senador Paulo Pessoa Guerra, 0 - Panco;Igarassu - PE;53630-840;46.013.906/0001-41;['Segunda-feira - Não abre', 'Terça-feira - 17:30 às 22:00', 'Quarta-feira - 17:30 às 22:00', 'Quinta-feira - 17:30 às 22:00', 'Sexta-feira - 17:45 às 20:30', 'Sábado - 17:30 às 22:00', 'Domingo - Não abre'];['destaques', 'pizzas grande (8 fatias)', 'promoções !!', 'croquete de camarão', 'empadas', 'batata frita', 'petisco', 'refrigerantes', 'água']
Diju Salgados;https://www.ifood.com.br/delivery/igarassu-pe/diju-salgados-umbura/861e0790-3933-4af2-8440-ad956c07f14b;Rua Dom Manoel, 25 - Umbura;Igarassu - PE;53625-606;43.870.629/0001-03;['Segunda-feira - 17:30 às 22:00', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 17:30 às 22:00', 'Sexta-feira - 17:30 às 22:00', 'Sábado - 17:30 às 22:00', 'Domingo - 17:30 às 22:00'];['promoção - r$10 off', 'salgados', 'doce']
Boa Pizza Express;https://www.ifood.com.br/delivery/igarassu-pe/boa-pizza-express-umbura/360d4e00-0a56-4176-9487-6e12d56405ab;Rua Josina Maria de Vasconcelos, 0 - Umbura;Igarassu - PE;53600-000;23.771.707/0001-05;['Segunda-feira - Não abre', 'Terça-feira - 18:00 às 22:45', 'Quarta-feira - 18:00 às 22:45', 'Quinta-feira - 18:00 às 22:45', 'Sexta-feira - 18:00 às 22:45', 'Sábado - 17:00 às 22:45', 'Domingo - 17:00 às 22:45'];['boa pizza', 'boa pizza doce', 'açaí', 'bebidas']
Batatrailer;https://www.ifood.com.br/delivery/igarassu-pe/batatrailer-cruz-do-reboucas/191cf549-72b0-4a86-bb49-356c8679d998;Avenida Barão de Vera Cruz, 800 - Cruz do Rebouças;Igarassu - PE;53625-015;28.394.154/0001-24;['Segunda-feira - 16:30 às 22:30', 'Terça-feira - 16:30 às 22:30', 'Quarta-feira - 16:30 às 22:30', 'Quinta-feira - 16:30 às 22:30', 'Sexta-feira - 16:30 às 22:30', 'Sábado - 16:30 às 22:30', 'Domingo - 16:30 às 22:30'];['refrigerante', 'minis (1)', 'batatas (1)', 'burgueres artesanais', 'baguetes', 'combos', 'gelados (1)', 'coxinhas (1)', 'beirutes']
Bella - Milk Shake, Açaí e Lanches;https://www.ifood.com.br/delivery/igarassu-pe/bella---milk-shake-acai-e-lanches-cruz-do-reboucas/facee11e-b875-4ade-ae83-39a4e031038f;R Luciana Paiva de Souza (lot. Tapajos), 25 - Cruz do Reboucas;Igarassu - PE;53635-170;31.323.871/0001-70;['Segunda-feira - 14:00 às 23:00', 'Terça-feira - 14:00 às 23:00', 'Quarta-feira - 14:00 às 23:00', 'Quinta-feira - 14:00 às 23:00', 'Sexta-feira - 14:00 às 23:00', 'Sábado - 14:00 às 23:00', 'Domingo - 14:00 às 23:00'];['milkshake', 'açaí', 'refrigerante']
Pizzaria Mix;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-mix-cruz-do-reboucas/06e4eed6-8c88-47ba-82c6-37f3c013dccf;-;-;-;-;['Segunda-feira - 14:00 às 23:00', 'Terça-feira - 14:00 às 23:00', 'Quarta-feira - 14:00 às 23:00', 'Quinta-feira - 14:00 às 23:00', 'Sexta-feira - 14:00 às 23:00', 'Sábado - 14:00 às 23:00', 'Domingo - 14:00 às 23:00'];['refrigerante', 'milkshake', 'açaí']
